ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
RCS 322 Earliest Christianity: The Life And Work of St. Paul	2	
RCS 324 New Testament Text I	2	
RCS 332 Christian History and Doctrine II	2	
RCS.342 Man and His Culture	2	
 	 	
Required Ancillary Courses	 	
COS 304 Computers Applications	2	
CED 342   Courses on Entrepreneurial Development and Research II    2		
 	 	
 	 	
Electives: Choose two Courses from the following:	 	
Those who have shown proficiency in Greek and	 	
Hebrew will be required to take RCS 222 and RCS 312	 	
RCS 222 Advanced Biblical Greek II	2	
SOC 251 Social Change and Social Problems	2	
PSY 261 Psychology of Personality	2	
RCS 272 History of Islam in West Africa	2         4/5	
RCS 312 Hebrew Grammar and Syntax II	2	
IGB 332  Aspects of Igbo Culture	3	
RCS 352 African Traditional Religion III	2	
 
Total	20/21	
 	 	
 	
 	
 	
 	
 	
THIRD YEAR	
First semester	
Course Code           Course Title
                                                                                                               	 
Unit	
Major Courses	 	
RCS 331 History of Christianity in West Africa	2	
RCS 301 Religious Interpretation of Society	2	
RCS 413 Literature of the Old Testament I	3	
RCS 421 Close of the New Testament Era	3	
RCS 431 Christian History and Doctrine III	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
Electives:   Choose one Course from the following:		
RCS 411 Hebrew poetry	2	
RCS 443 Religion and Culture in Contemporary Society	2     2	
RCS 471 Islamic Ethics	2	
		
                             Total	18	
		
		
		
	
	
	
Second semester	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 362 Religious Ethics II	2	
RCS 414 Literature of the Old Testament II	3	
RCS 416   Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Text II	3	
RCS 492 Project	6	
 	 	
Electives: Choose one Courses from the following:	 	
RCS 402 Religion and the Nigerian Nation	2	
RCS 444 Theodicy	2   2	
RCS 456 Comparative Study of Religion in Africa	2	
 	 	
                                 Total	18	
		
	
 	
 	
 	
 	
 	
COMBINED HONOURS	
4-YEAR STANDARD PROGRAMME	
	
	
RELIGION AND CULTURAL STUDIES/ ARCHAEOLOGY & TOURISM	
	
FIRST YEAR	
	
	
	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121 Basic Biblical Greek I	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introducing African Traditional Religion	2	
ACH 101                Fundamentals of Archaeology	2	
TRM 101                Introduction to Tourism	2	
ACH 121                Fundamentals of Civilization	2	
 	 	
General Studies Courses	 	
GSP 101 The Use of English I	2	
GSP 111 Use of the Library and Study Skill	2	
 	 	
                                 Total	20	
 	 	
 	 	
Second Semester	 	
Course Code                    Course Title	Unit	
Major Courses		
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Background of the Old Testament	2	
RCS 122 Basic Biblical Greek II	2	
RCS 124 Introduction to the Tradition of Jesus	2	
ACH 102                Introduction to Archaeological Methods	2	
ACH 104                Public Archaeology I	2	
ACH 106                Introduction to Museum Studies	2	
	
General Studies Course		
GSP 102 The Use of English II	2	
                         Total	16	
		
		
		
SECOND YEAR	 	
 	 	
First Semester	 	
Course Code                 Course Title	Unit	
Major Courses		
RCS 213 The People of the Old Testament: Their History	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
ACH 211                Environmental Archaeology	2	
ACH 235                Artefacts Studies I	2	
TRM 241                Tourism Products and Services	2	
 	 	
General Studies Courses		
GSP 105 Natural Science I	2	
GSP 201 Peace and Conflict Resolution I	2	
 	 	
Elective:       Choose One Course From the Following:		
RCS 201 History of Religions	2       2	
RCS 221 Advanced Biblical Greek I
 	2
 	
 	 	
                                             Total	18	
		
Second Semester	 	
Course Code                          Course Title           `	Unit	
Major Courses		
RCS 204 Field Trip and Tutorial II	2	
RCS 214 Exilic and Post-Exilic Israel	2	
RCS 224 Tradition of Jesus	2	
RCS 251 African Traditional Religion I	2	
TRM 202                Tourism Marketing and Shopping	2	
ACH 212                Human Evolution	2	
ACH 234                Basic Display Techniques	2	
 	 	
General Studies Courses		
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
 	 	
Elective:                  Choose One Course from the Following:	 	
RCS 202 Basic Concepts in the Study of Religion and Society	2	
RCS 205 Problems of Religious Beliefs & History	2	
RCS 222 Advanced Biblical Greek II	2     2	
SWK 224                Functions of Social Work	2	
SWK 228                Social Work in Health Care Setting	2	
SWK 248                Social Work Communication Techniques	2	
 	 	
                                    Total	20	
 	 	
 	 	
THIRD YEAR	 	
First Semester:	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 301 Religious Interpretation of Society	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 331 History of Christianity in West Africa	2	
RCS 351 African Traditional Religion II	2	
ACH 303                Public Archaeology II	2	
ACH 321                Ethnography of Africa	2	
ACH 333                Museum Outreach	2	
		
Required Ancillary Courses		
COS 101 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
 	 	
                                     Total	18	
		
		
		
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament text I	2	
RCS 332 Christian History and Doctrine II	2	
ACH 304                Introduction to Ethno-Archaeology	2	
ACH 306                Environmental Impact Assessment	2	
ACH 332                Artefacts Studies II	2	
 	 	
Required Ancillary Courses	 	
COS 304 Computer Application	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
                                 Total	18	
		
		
 	 	
 	 	
 	 	
 	 	
 	 	
 	 	
 	 	
FOURTH YEAR		
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 413 Literature of the Old Testament I	3	
RCS 421 The Close of New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
ACH 421                Archaeology of Nigeria	3	
ACH 433                Artefacts Studies III	3	
 	 	
Elective:  Choose One Course from the Following	 	
RCS 431 Christian History and Doctrine III	3       2/3	
RCS 443 Religion and Culture in Contemporary Society	2	
 	 	
                               Total	17/18	
		
 	 	
 	 	
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 414 Literature of the Old Testament II	2	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Texts II	2	
RCS 492 Project	6	
ACH 402 Theory in Archaeology and Interpretation of Data	3	
ACH 422                Africa’s Indigenous Knowledge and   Technology	2	
 	 	
Electives: Choose One Course from the Following:		
RCS 323 New Testament Theological Framework	2       2	
RCS 456 Comparative Study of Religion in Africa	2	
 	 	
                                 Total	19	
 	 	
 	 	
 	 	
 	 	
COMBINED HONOURS	
4-YEAR STANDARD PROGRAMME	
	
	
RELIGION AND CULTURAL STUDIES / ENGLISH & LITERARY STUDIES	
	
FIRST YEAR	
	
First Semester	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121 Basic Biblical Greek I	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introduction to African Traditional Religion	2	
ELS   111 Introduction to Oral Literature	3	
ELS   141 Introduction to Fiction	3	
 	 	
General Studies Courses	 	
GSP 101 The Use of English I	2	
GSP 111 Use of the Library and Study Skill	2	
 
Total	20	
 	 	
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Introduction to the Study of the Old Testament	2	
RCS 122 Basic Biblical Greek II	2	
RCS 124 Introduction to the Traditions of Jesus	2	
ELS   105 Introduction to Nigerian Literature II	3	
ELS   121 Basic Grammar and Composition	3	
		
General Studies Course	 	
GSP 102 The Use of English II	2	
Total	16	
	
	
	
	
	
SECOND YEAR	
 	
 	
First Semester	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 213 The People of the Old Testament	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
RCS 251 African Traditional Religion I	2	
ELS 241  English Literature The Beginnings	3	
ELS 221  Spoken English	3	
 	 	
General Studies Courses	 	
GSP 105 Natural Science I	2	
GSP 201 Peace and Conflict Resolution I	2	
		
Electives : Choose one course from the following		
RCS 201 History of Religions	2	
RCS 221 Advanced Biblical Greek I	2     2 /3	
ELS 242  English Literature: The Renaissance Period	3	
ELS 243  English Literature: The Neo-Period	3	
		
                       Total	20/21	
		
		
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 204                 Field Trip and Tutorial II	2	
RCS 216 Exilic and Post-Exilic Israel	2	
RCS 224 Traditions of Jesus	2	
RCS 272 History of Islam in West Africa	2	
ELS 222 Intermediate English: Grammar   and Composition	3	
ELS 230  Comedy: Moliere to Soyinka	3	
General Studies Courses	 	
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
 	 	
Electives: Choose one Course from the following	 	
RCS 206 Problems of Religious Beliefs and History	2	
RCS 222 Advanced Biblical Greek II	2     2/3	
ELS 212  American Literature: The Modern Period	3	
ELS 214 English Literature: Neo-Classical Period	3	
		
                       Total	20/21	
		
		
		
		
THIRD YEAR	 	
 	 	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 313 Religion of the Old Testament	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 323 New Testament Theological Framework	2	
RCS 341 Religious Interpretation of Society	2	
RCS 351 African Traditional Religion II	2	
ELS 344  African Fiction	3	
ELS 355  African Poetry	3	
		
Required Ancillary Courses	 	
COS 101 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research II	2	
Total	20	
 	 	
 	 	
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament Text I	2	
RCS 332 Christian History and Doctrine II	2	
ELS 324 Morphology and Syntax of English	3	
ELS 343 English Literature: Modern Period	3	
 	 	
Required Ancillary Courses	 	
COS 304 Computer Applications	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
		
Electives: Choose one Course from the following	 	
RCS 362 Religious Ethics II	2	
ANT 303 Nigerian Peoples and Culture	3	
IGB 332  Aspects of Igbo Culture	3       2/3	
RCS 342 Man and His Culture	3	
PSY 365   Personality Assessment	2	
		
                                     Total	20/21	
 	 	
 	 	
FOURTH YEAR	 	
		
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 413 Literature of the Old Testament I	3	
RCS 421 The Close of the New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
ELS 421  Stylistics	3	
ELS 452  Studies in Poetry	3	
		
Electives: Choose one Course from the following		
RCS 431 Christian History and Doctrine III	3	
RCS 437 Modern African Religious Thought	3	
ELS 411  American and Afro-American Literature	3	
ELS 441  Studies in Fiction	3	
RCS 443 Religion and Culture in Contemporary Society	2	
ELS 447  European Continental Literature	3	
RCS 471 Islamic Ethics	2	
                           Total	17/18	
 	
Second Semester	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 414 Literature of the Old Testament II	3	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Text II	3	
RCS 492 Project	6	
ELS 433  Studies in Drama	3	
ELS 441  Studies in Fiction	3	
 	 	
                                 Total	20	
		
	
	
	
COMBINED HONOURS	
FOUR-YEAR STANDARD PROGRAMME	
	
	
RELIGION AND CULTURAL STUDIES/ HISTORY & INTERNATIONAL RELATIONS	
	
	
FIRST YEAR	
	
First Semester	
Course Code                          Course Title                                           Unit	
Major Courses		
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121 Basic Biblical Greek I	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introducing African Traditional Religion	2	
HIS   101 Introduction to History	2	
HIS   111 Nigeria before 1900	3	
HIS   121 History of African From 1500-1800	3	
 	 	
General Studies Courses	 	
GSP 101 The Use of English I	2	
GSP 111 Use of the Library and Study Skill	2	
 	 	
                                Total	22	
		
Second Semester	 	
Course Code                     Course Title	Unit	
Major Courses		
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Background of the Old Testament	2	
RCS 122 Basic Biblical Greek II	2	
RCS 124 Introduction the Traditions of Jesus	2	
HIS   102 Introduction to Economic History	2	
HIS   122 History of West Africa since 1500	2	
HIS   132 Europe from the French Revolution to the Second World War	2	
		
General Studies Course		
GSP 102 The Use of English II	2	
 	 	
                              Total	16	
 	 	
 	 	
 	 	
 	 	
SECOND YEAR	 	
		
First Semester	 	
Course Code             Course Title	Unit	
Major Courses		
RCS 213 The People of the Old Testament: Their History	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
RCS 233 Religious Ethics I	2	
HIS 213  Diplomatic History of Nigeria Since 1960	2	
HIS 233  Europe from the Second World War to the Present	2	
 	 	
General Studies Course		
GSP 105 Natural Science I	2	
GSP 201 Peace and Conflict Resolution I	2	
 	 	
Elective:       Choose One Course From the Following:		
RCS 201 History of Religions	2	
RCS 221 Advanced Biblical Greek I	2         2	
HIS 221  Southern Africa from 1400	2	
 	 	
                                 Total	18	
 	 	
 	
 	
 	 	
Second Semester	 	
Course Code                          Course Title           `	Unit	
Major Courses		
RCS 204 Field Trip and Tutorial II	2	
RCS 214 Exilic and Post-Exilic Israel	2	
RCS 224 Tradition of Jesus	2	
RCS 251 African Traditional Religion I	2	
HIS 222  Africa and European Imperialism	3	
HIS 224  Economic History of West Africa in 19th and 20th Centuries	3	
 	 	
General Studies Course		
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
 	 	
Elective: Choose One Course from the Following:	 	
RCS 202 Basic Concepts in the Study of Religion and Society	2	
RCS 205 Problems of Religious Beliefs & History	2	
RCS 222 Advanced Biblical Greek II	2     2/3	
ECO 211 History of Economic Thought I	3	
HIS 226  African Women in History	2	
SOC 251 Social Change and Social Problems	3	
 	 	
                            Total	20/21	
 	 	
 	 	
 	 	
 	 	
 	 	
THIRD YEAR	 	
First Semester:	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 301 Religious Interpretation of Society	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 351 African Traditional Religion II	2	
HIS 311  Nigeria From 1900-1960	3	
HIS 321  Africa and the wider World in the 20th Century	2	
HIS 361  Historiography	3	
		
Required Ancillary Courses		
COS 101 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
 	 	
                     Total	18	
		
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament text I	2	
RCS 332 Christian History and Doctrine II	2	
HIS 302  History of the Commonwealth	2	
HIS 322  Problems and Prospects of Regional Economic Development in Africa	3	
HIS 332  Russia since 1917	3	
		
Required Ancillary courses	 	
COS 304 Computer Application	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
		
                               Total	20	
		
		
		
		
		
		
FOURTH YEAR		
		
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 413 Literature of the Old Testament I	3	
RCS 421 The Close of New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
HIS 401  Development of Parliamentary Systems	3	
HIS 411  Nigeria from 1970 to Present	2	
HIS 412  Economic History of Nigeria in the 20th Century	2	
 	 	
Elective:  Choose One Course from the Following	 	
RCS 431 Christian History and Doctrine III	3	
RCS 443 Religion and Culture in Contemporary Society	2           2/3	
RCS 471 Islamic Ethics	2	
HIS 415  Igboland to the Present	3	
 	 	
                     Total	18/19	
 	 	
 	
Second Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 414 Literature of the Old Testament II	2	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Texts II	2	
RCS 492 Project	6	
HIS 404  Philosophy of History	2	
HIS   422 Africa since 1800	2	
		
Electives: Choose One Course from the Following:		
RCS 323 New Testament Theological Framework	2	
RCS 456 Comparative Study of Religion in Africa	2       2	
HIS 406  Conflict, War and Peace since 1900	2	
SOC 251 Social Change and Social Problems	2	
 	 	
                                 Total	18	
 	 	
 	 	
 	
 	
COMBINED HONOURS	
4-YEAR STANDARD PROGRAMME	
	
RELIGION AND CULTURAL STUDIES/ MASS COMMUNICATION	
 	
 	
FIRST YEAR	
	
First Semester	
Course Code                          Course Title	Unit	
Major Courses		
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121 Basic Biblical Greek I	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introducing African Traditional Religion	2	
MAC101 Introduction to Mass Communication	4	
MAC111 Element of Journalistic Style	2	
		
General Studies Courses	 	
GSP 101 The Use of English I	2	
GSP 111 Use of the Library and Study Skill	2	
 	 	
                                 Total	20	
Second Semester	 	
Course Code               Course Title	Unit	
Major Courses		
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Introduction to the Study of the Old Testament	2	
RCS 122 Basic Biblical Greek II	2	
RCS 124 Introduction the Traditions of Jesus	2	
MAC102 African Communication System	4	
MAC112 Writing for the Mass	2	
 	 	
General Studies Course		
GSP 102 The Use of English II	2	
 	 	
                           Total	16	
		
	
	
	
	
	
SECOND YEAR	
	
	
First Semester	
Course Code                   Course Title	Unit	
Major Courses		
RCS 213 The People of the Old Testament: Their History     2		
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
MAC241 Principles of Public Relations	2	
MAC 201 Theories of Mass Communication	2	
MAC261 Introduction to Film	2	
		
General Studies Course		
GSP 105 Natural Science I	2	
GSP 201 Peace and Conflict Resolution I	2	
		
Elective:       Choose One Course From the Following:		
RCS 201 History of Religions	2	
RCS 221 Advanced Biblical Greek I	2	
RCS 251 African Traditional Religion I	2	
MAC211 Critical and Review Writing	2	
		
Total	18	
 	 	
 	
Second Semester	
Course Code                          Course Title           `	Unit	
Major Courses		
RCS 204 Field Trip and Tutorial II	2	
RCS 214 Exilic and Post-Exilic Israel	2	
RCS 224 Tradition of Jesus	2	
MAC202 Media and Society	2	
MAC 222 Principles of Broadcasting	2	
MAC242 Principles of Advertising	2	
		
General Studies Course		
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
		
Elective: Choose One Course from the Following:	 	
RCS 202 Basic Concepts in the Study of Religion and Society	2	
RCS 205 Problems of Religious Beliefs & History	2	
RCS 222 Advanced Biblical Greek II	2	
MAC204 Information and Communication Technology	2	
		
Total	18	
 	 	
 	 	
 	 	
 	 	
 	 	
THIRD YEAR	 	
 	 	
First Semester:	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 321 Earliest Christianity: The Beginning	2	
RCS 341 Religious Interpretation of Society	2	
RCS 351 African Traditional Religion II	2	
MAC301 Development Journalism	2	
		
MAC361 Photojournalism	2	
MAC333 Fundamentals of Book Publishing	2	
		
Required Ancillary Course		
COS 101 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
 	 	
Total	18	
		
Second Semester	
Course Code                          Course Title                                           Unit	 	
Major Courses		
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament text I	2	
RCS 332 Christian History and Doctrine II	2	
MAC302 Specialized Report	2	
MAC334 Magazine Production	2	
MAC332 Newspaper Production	2	
		
Required Ancillary course	 	
COS 304 Computer Application	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
Total	16	
FOURTH YEAR		
	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses	 	
RCS 413 Literature of the Old Testament I	3	
RCS 421 The Close of New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
MAC401 Mass Communication Law and Ethics	2	
MAC431 Advanced Newspaper Production	2	
MAC441 Advanced Public Relations	2	
 	 	
Elective:  Choose One Course from the Following	 	
RCS 431 Christian History and Doctrine III	3	
RCS 443 Religion and Culture in Contemporary Society	2	
RCS 471 Islamic Ethics	2	
MAC403 International Communications	2	
MAC423 Station Management and Operations	2	
		
Total	17/18	
	
Second Semester	
Course Code                          Course Title	Unit	
Major Courses		
RCS 414 Literature of the Old Testament II	2	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Texts II	2	
RCS 492 Project	6	
MAC402 Media Management	2	
MAC442 Advanced Advertising	2	
MAC462 Documentary Film Production	2	
		
Electives:   Choose One Course from the Following:		
RCS 323 New Testament Theological Framework	2	
RCS 456 Comparative Study of Religion in Africa	2	
MAC422 Broadcast Seminar	2	
Total	20	
	
COMBINED HONOURS	
4-YEAR STANDARD PROGRAMME	
	
RELIGION AND CULTURAL STUDIES/ PUBLIC ADMINISTRATION AND LOCAL GOVERNMENT	
	
FIRST YEAR	
First Semester	
Course Code                          Course Title	Unit	
Major Courses		
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121 Basic Biblical Greek I	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introducing African Traditional Religion	2	
PUB 101 Introduction to Public Administration I	3	
LGS 101 Introduction to Local Government	3	
 	 	
General Studies Courses	 	
GSP 101 The Use of English I	2	
GSP 111 Use of the Library and Study Skill	2	
Total	20	
	
Second Semester	 	
Course Code                     Course Title	Unit	
Major Courses		
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Background of the Old Testament	2	
RCS 122 Basic Biblical Greek II	2	
RCS 124 Introduction the Traditions of Jesus	2	
PUB 102 Introduction to Public Administration II	2	
PUB 103 Principles of Management	2	
PUB 105 Introduction to Organisations	2	
		
General Studies Course		
GSP 102 The Use of English II	2	
 	 	
Total	16	
		
SECOND YEAR	
 	
First Semester	
Course Code                     Course Title	Unit	
Major Courses		
RCS 213 The People of the Old Testament: Their History	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
PUB 222 Administration and Environment	2	
PUB 251 Introduction to Human Resources Management	3	
General Studies Courses		
GSP 105 Natural Science I	2	
GSP 201 Peace and Conflict Resolution I	2	
		
Elective:       Choose One Course From the Following:		
RCS 201 History of Religions	2	
RCS 221 Advanced Biblical Greek I	2           2/3	
PUB 221 Nigerian Public Administration	3	
PUB 231 Nigerian Government I	2	
 	 	
Total	17/18	
 	 	
Second Semester	 	
Course Code                          Course Title           `	Unit	
Major Courses		
RCS 204 Field Trip and Tutorial II	2	
RCS 214 Exilic and Post-Exilic Israel	2	
RCS 224 Tradition of Jesus	2	
RCS 251 African Traditional Religion I	2	
PUB 241 Introduction to Public Financial Administration	3	
PUB 224 Comparative Public Administration	3	
		
General Studies Courses		
GSP 106 Natural Science II	2	
GSP 202 Peace and Conflict Resolution II	2	
 	 	
 	 	
Elective: Choose One Course from the Following:	 	
RCS 202 Basic Concepts in the Study of Religion and Society	2	
RCS 205 Problems of Religious Beliefs & History	2	
RCS 222 Advanced Biblical Greek II	2   2	
PUB 232 Nigerian Government II	2	
LGS 232 Theories of Community Development	2	
 	 	
Total	20	
 	
THIRD YEAR	
 	
First Semester:	
Course Code          Course Title                                                           Unit	
Major Courses	
RCS 301 Religious Interpretation of Society	2	
RCS 321 Earliest Christianity: The Beginning	2	
RCS 331 History of Christianity in West Africa	2	
RCS 351 African Traditional Religion II	2	
PUB 311 Administrative Theory and Practice I	3	
PUB 351 Public Personnel Administration	3	
		
Required Ancillary Courses		
COS 101 Introduction to Computer Science	2	
CED 341 Courses on Entrepreneurial Development and Research I	2	
 	 	
Total	18	
	
Second Semester	
Course Code                          Course Title	Unit	
Major Courses		
RCS 314 Old Testament Prophets	2	
RCS 322 Earliest Christianity: The Life and Work of St. Paul	2	
RCS 324 New Testament text I	2	
RCS 332 Christian History and Doctrine II	2	
PUB 323 Project Management	3	
PUB 332 Inter-Governmental Relations in Nigeria	3	
		
Required Ancillary Courses	 	
COS 304 Computer Application	2	
CED 342 Courses on Entrepreneurial Development and Research II	2	
		
Total	18	
	
FOURTH YEAR	
	
First Semester	
Course Code                          Course Title                                           Unit	
Major Courses	 	
RCS 413 Literature of the Old Testament I	3	
RCS 421 The Close of New Testament Era	3	
RCS 481 Departmental Seminar	2	
RCS 491 Project Tutorials	1	
PUB 431 Public Policy Analysis	3	
PUB 432 Bureaucracy and Policy Process	3	
 	 	
Elective:  Choose One Course from the Following	 	
RCS 431 Christian History and Doctrine III	3	
RCS 443 Religion and Culture in Contemporary Society	2	
RCS 471 Islamic Ethics	2	
PUB 451 Manpower Planning and Development	3	
PUB 441 Budgeting and Budgetary Processes	3	
 	 	
Total	17/18	
Second Semester	
Course Code                          Course Title	Unit	
Major Courses		
RCS 414 Literature of the Old Testament II	2	
RCS 416 Pseudo-epigraphic Books of the Old Testament	2	
RCS 422 New Testament Texts II	2	
RCS 492 Project	6	
PUB 411 Theories of Development	3	
LGS 432 Management Problems in the Local Government System in Nigeria	3	
 	 	
Electives: Choose One Course from the Following:		
RCS 323 New Testament Theological Framework                                2		
RCS 456 Comparative Study of Religion in Africa	2         2/3	
PUB 424 Information and Communication Management	3	
PUB 426 Public Administration Ethics	3	
 	 	
Total	20/21	
	
COMBINED HONOURS	
4-YEAR STANDARD PROGRAMME	
	
RELIGION AND CULTURAL STUDIES/ SOCIAL WORK	
	
FIRST YEAR	
 	
First Semester	 	
Course Code                          Course Title	Unit	
Major Courses		
RCS 101 Introduction to the Study of Religion	2	
RCS 111 Background of the Old Testament	2	
RCS 121 Basic Biblical Greek I	2	
RCS 123 The Background of the New Testament	2	
RCS 151 Introducing African Traditional Religion	2	
SWK 101                Introduction to Social Work	2	
SWK 111                Communication in Social Work	2	
SWK 121                Social Deviance and Systems Organisation	2	
		
General Studies Courses	 	
GSP 101 The Use of English I	2	
GSP 111 Use of the Library and Study Skill	2	
Total	20	
		
Second Semester	 	
Course Code                     Course Title	Unit	
Major Courses		
RCS 102 Field Trip and Tutorial I	2	
RCS 112 Background of the Old Testament	2	
RCS 122 Basic Biblical Greek II	2	
RCS 124 Introduction the Traditions of Jesus	2	
SWK 102 Human Behaviour and the Social Environment	3	
SWK 122 Philosophy and Ethics of Social Work	2	
		
General Studies Course		
GSP 102 The Use of English II	2	
 	 	
Total	15	
	
SECOND YEAR	
	
	
First Semester	
Course Code                     Course Title	Unit	
Major Courses		
RCS 213 The People of the Old Testament: Their History	2	
RCS 223 Geo-Cultural Setting of Palestine	2	
RCS 231 Christian History and Doctrine I	2	
SWK 203                Elements of Scientific Thought for Social Workers	2	
SWK 231                Crime, Delinquency and the Quality of Life	2	
SWK 245                Field Work Practice: Social Analysis in Case Work	2	
 	 	
General Studies Courses		
GSP 105 Natural Science I	2	
GSP 201 Peace and Conflict Resolution I	2	
 	 	
Elective: Choose One Course From the Following:		
RCS 201 History of Religions	2	
RCS 221 Advanced Biblical Greek I	2       2	
SWK 251                Community Development	2	
 	 	
Total	18	
 	 	
Second Semester	 	
Course Code                          Course Title           `	Unit	
